player_id,name_first,name_last,row_name,player_id_api,hand,dob,ioc,height,slug
100644,Alexander,Zverev,Alexander Zverev,57163,R,19970420,GER,198,zverev-alexander
104527,Stan,Wawrinka,Stan Wawrinka,14548,R,19850328,SUI,183,wawrinka-stan
104755,Richard,Gasquet,Richard Gasquet,14414,R,19860618,FRA,183,gasquet-richard
104792,Gael,Monfils,Gael Monfils,14844,R,19860901,FRA,193,monfils-gael
104925,Novak,Djokovic,Novak Djokovic,14882,R,19870522,SRB,188,djokovic-novak
104926,Fabio,Fognini,Fabio Fognini,15434,R,19870524,ITA,178,fognini-fabio
105062,Mikhail,Kukushkin,Mikhail Kukushkin,16683,R,19871226,KAZ,183,kukushkin-mikhail
105138,Roberto,Bautista Agut,Roberto Bautista Agut,16720,R,19880414,ESP,183,bautista-agut-roberto
105173,Adrian,Mannarino,Adrian Mannarino,15894,L,19880629,FRA,180,mannarino-adrian
105180,Daniel,Dutra Da Silva,Daniel Dutra da Silva,48225,L,19880705,BRA,173,dutra-da-silva-daniel
105227,Marin,Cilic,Marin Cilic,15387,R,19880928,CRO,198,cilic-marin
105339,Yan,Bai,Yan Bai,25683,R,19890521,CHN,185,bai-yan
105373,Martin,Klizan,Martin Klizan,15983,L,19890711,SVK,191,klizan-martin
105413,Andrej,Martin,Andrej Martin,24415,R,19890920,SVK,183,martin-andrej
105430,Radu,Albot,Radu Albot,44547,R,19891111,MDA,175,albot-radu
105453,Kei,Nishikori,Kei Nishikori,15733,R,19891229,JPN,178,nishikori-kei
105477,Marco,Trungelliti,Marco Trungelliti,38517,R,19900131,ARG,178,trungelliti-marco
105554,Daniel,Evans,Daniel Evans,16375,R,19900523,GBR,175,evans-daniel
105575,Ricardas,Berankis,Ricardas Berankis,22956,R,19900621,LTU,175,berankis-ricardas
105583,Dusan,Lajovic,Dusan Lajovic,39234,R,19900630,SRB,183,lajovic-dusan
105613,Norbert,Gombos,Norbert Gombos,50139,R,19900813,SVK,193,gombos-norbert
105655,Hiroki,Moriya,Hiroki Moriya,32466,R,19901016,JPN,168,moriya-hiroki
105671,Gastao,Elias,Gastao Elias,15858,R,19901124,POR,180,elias-gastao
105676,David,Goffin,David Goffin,25838,R,19901207,BEL,180,goffin-david
105683,Milos,Raonic,Milos Raonic,18111,R,19901227,CAN,196,raonic-milos
105777,Grigor,Dimitrov,Grigor Dimitrov,23581,R,19910516,BUL,191,dimitrov-grigor
105807,Pablo,Carreno Busta,Pablo Carreno Busta,40800,R,19910712,ESP,188,carreno-busta-pablo
105814,Maximilian,Neuchrist,Maximilian Neuchrist,46259,R,19910722,AUT,,neuchrist-maximilian
105841,Lorenzo,Giustino,Lorenzo Giustino,48626,R,19910910,ITA,180,giustino-lorenzo
105870,Yannick,Hanfmann,Yannick Hanfmann,47975,R,19911113,GER,193,hanfmann-yannick
105882,Stefano,Travaglia,Stefano Travaglia,36300,R,19911228,ITA,185,travaglia-stefano
105902,James,Duckworth,James Duckworth,39711,R,19920121,AUS,183,duckworth-james
105911,Andrea,Collarini,Andrea Collarini,43761,L,19920131,ARG,183,collarini-andrea
105916,Marton,Fucsovics,Marton Fucsovics,47770,R,19920208,HUN,188,fucsovics-marton
105932,Nikoloz,Basilashvili,Nikoloz Basilashvili,26204,R,19920223,GEO,185,basilashvili-nikoloz
105938,Antoine,Escoffier,Antoine Escoffier,49663,R,19920229,FRA,185,escoffier-antoine
105948,Federico,Coria,Federico Coria,54573,R,19920309,ARG,180,coria-federico
105952,Renzo,Olivo,Renzo Olivo,55787,R,19920315,ARG,178,olivo-renzo
106000,Damir,Dzumhur,Damir Dzumhur,49172,R,19920520,BIH,175,dzumhur-damir
106005,Constant,Lestienne,Constant Lestienne,62790,R,19920523,FRA,180,lestienne-constant
106034,Yasutaka,Uchiyama,Yasutaka Uchiyama,46390,R,19920805,JPN,183,uchiyama-yasutaka
106043,Diego,Schwartzman,Diego Schwartzman,48599,R,19920816,ARG,170,schwartzman-diego
106044,Nicolas,Kicker,Nicolas Kicker,66086,R,19920816,ARG,178,kicker-nicolas
106057,Facundo,Mena,Facundo Mena,38180,R,19920922,ARG,183,mena-facundo
106065,Marco,Cecchinato,Marco Cecchinato,44549,R,19920930,ITA,185,cecchinato-marco
106071,Bernard,Tomic,Bernard Tomic,17080,R,19921021,AUS,196,tomic-bernard
106072,Alexey,Vatutin,Alexey Vatutin,52462,R,19921027,RUS,178,vatutin-alexey
106075,Jozef,Kovalik,Jozef Kovalik,57021,R,19921104,SVK,183,kovalik-jozef
106078,Egor,Gerasimov,Egor Gerasimov,49283,R,19921111,BLR,196,gerasimov-egor
106109,Alex,Bolt,Alex Bolt,58369,L,19930105,AUS,183,bolt-alex
106121,Taro,Daniel,Taro Daniel,48632,R,19930127,JPN,191,daniel-taro
106148,Roberto,Carballes Baena,Roberto Carballes Baena,51141,R,19930323,ESP,183,carballes-baena-roberto
106162,Franco,Agamenone,Franco Agamenone,65606,R,19930415,ITA,191,agamenone-franco
106167,Joris,De Loore,Joris De Loore,45258,R,19930421,BEL,191,de-loore-joris
106172,Maxime,Chazal,Maxime Chazal,17065,R,19930424,FRA,175,chazal-maxime
106177,Oriol,Roca Batalla,Oriol Roca Batalla,51100,R,19930430,ESP,175,roca-batalla-oriol
