player_id,name,slug,rank,prev_rank,points,prev_points,country,tournaments_played,best_rank,gender,date_extracted
206570,Jannik Sinner,sinner-jannik,1,1,9730,9930,ITA,19,1,M,2025-05-06T12:10:59+00:00
57163,Alexander Zverev,zverev-alexander,2,2,8085,8085,DEU,25,2,M,2025-05-06T12:10:59+00:00
275923,Carlos Alcaraz,alcaraz-carlos,3,3,7850,8050,ESP,17,1,M,2025-05-06T12:10:59+00:00
136042,Taylor Fritz,fritz-taylor,4,4,4815,5115,USA,25,4,M,2025-05-06T12:10:59+00:00
258749,Jack Draper,draper-jack,5,6,4440,3820,GBR,21,6,M,2025-05-06T12:10:59+00:00
14882,Novak Djokovic,djokovic-novak,6,5,4130,4120,SRB,18,1,M,2025-05-06T12:10:59+00:00
119248,Casper Ruud,ruud-casper,7,15,3715,2815,NOR,24,2,M,2025-05-06T12:10:59+00:00
201239,Alex de Minaur,de-minaur-alex,8,7,3635,3585,AUS,25,6,M,2025-05-06T12:10:59+00:00
261015,Lorenzo Musetti,musetti-lorenzo,9,11,3550,3200,ITA,31,11,M,2025-05-06T12:10:59+00:00
283070,Holger Rune,rune-holger,10,9,3440,3480,DNK,23,4,M,2025-05-06T12:10:59+00:00
163504,Daniil Medvedev,medvedev-daniil,11,10,3290,3290,RUS,19,1,M,2025-05-06T12:10:59+00:00
138546,Tommy Paul,paul-tommy,12,12,3210,3160,USA,24,9,M,2025-05-06T12:10:59+00:00
385485,Ben Shelton,shelton-ben,13,13,3020,3020,USA,24,12,M,2025-05-06T12:10:59+00:00
338500,Arthur Fils,fils-arthur,14,14,2920,2920,FRA,27,14,M,2025-05-06T12:10:59+00:00
23581,Grigor Dimitrov,dimitrov-grigor,15,16,2685,2595,BGR,21,3,M,2025-05-06T12:10:59+00:00
101101,Frances Tiafoe,tiafoe-frances,16,17,2640,2550,USA,24,10,M,2025-05-06T12:10:59+00:00
106755,Andrey Rublev,rublev-andrey,17,8,2580,3530,RUS,24,5,M,2025-05-06T12:10:59+00:00
221012,Francisco Cerundolo,cerundolo-francisco,18,21,2425,2225,ARG,27,19,M,2025-05-06T12:10:59+00:00
122366,Stefanos Tsitsipas,tsitsipas-stefanos,19,18,2420,2415,GRC,25,3,M,2025-05-06T12:10:59+00:00
